t_ticks,kind,dx,dy
6251358090322,m,-77,-25
6251362720752,m,-1,0
6251362792843,m,0,0
6251362816449,m,-2,0
6251362840348,m,0,0
6251362864312,m,0,0
6251362888667,m,-1,1
6251362912270,m,-2,0
6251362936333,m,-1,1
6251362960268,m,-2,1
6251362984257,m,-1,1
6251363008443,m,-1,0
6251363033036,m,-3,1
6251363056431,m,-2,1
6251363080704,m,-2,1
6251363104335,m,-3,1
6251363128311,m,-3,1
6251363152109,m,-3,1
6251363176430,m,-4,1
6251363201723,m,-4,2
6251363224344,m,-3,1
6251363248187,m,-5,0
6251363273054,m,-4,1
6251363296239,m,-5,1
6251363321057,m,-4,1
6251363344363,m,-4,1
6251363368564,m,-5,0
6251363392325,m,-5,1
6251363416306,m,-4,1
6251363440228,m,-6,1
6251363464410,m,-5,0
6251363488970,m,-6,0
6251363512890,m,-5,1
6251363536406,m,-6,0
6251363560994,m,-6,1
6251363584484,m,-6,1
6251363608733,m,-7,0
6251363632731,m,-6,0
6251363656343,m,-7,1
6251363680687,m,-7,0
6251363705306,m,-6,0
6251363728434,m,-8,0
6251363752315,m,-7,0
6251363776398,m,-7,1
6251363800569,m,-8,0
6251363824848,m,-7,0
6251363848317,m,-8,0
6251363872951,m,-7,0
6251363896466,m,-7,0
6251363921102,m,-7,0
6251363944933,m,-7,0
6251363968518,m,-8,-1
6251363992622,m,-7,-1
6251364016726,m,-7,-2
6251364040230,m,-7,0
6251364064737,m,-7,-1
6251364088247,m,-7,-2
6251364112339,m,-7,-1
6251364136638,m,-7,-2
6251364160711,m,-7,-1
6251364184384,m,-7,-1
6251364208551,m,-7,-2
6251364232614,m,-7,-2
6251364256431,m,-7,-2
6251364280744,m,-7,-1
6251364304635,m,-7,-2
6251364328491,m,-8,-2
6251364352454,m,-7,-2
6251364376436,m,-7,-2
6251364400387,m,-8,-2
6251364424312,m,-7,-3
6251364448724,m,-7,-1
6251364472277,m,-8,-3
6251364496458,m,-7,-3
6251364520615,m,-8,-2
6251364544372,m,-7,-3
6251364569281,m,-8,-3
6251364592641,m,-7,-3
6251364616395,m,-8,-3
6251364640859,m,-7,-3
6251364664762,m,-7,-3
6251364688331,m,-7,-3
6251364712450,m,-8,-4
6251364736347,m,-7,-2
6251364760563,m,-7,-4
6251364784630,m,-8,-2
6251364808321,m,-7,-4
6251364832798,m,-7,-3
6251364856312,m,-7,-3
6251364880723,m,-7,-4
6251364904723,m,-8,-2
6251364928713,m,-7,-4
6251364952322,m,-7,-2
6251364976640,m,-7,-3
6251365000463,m,-7,-3
6251365024309,m,-7,-3
6251365048435,m,-7,-3
6251365072641,m,-7,-3
6251365096333,m,-7,-3
6251365120950,m,-7,-2
6251365144548,m,-7,-4
6251365168342,m,-7,-3
6251365192993,m,-7,-3
6251365216417,m,-7,-3
6251365240279,m,-6,-3
6251365264297,m,-7,-3
6251365288608,m,-7,-3
6251365312926,m,-6,-3
6251365336363,m,-8,-3
6251365360466,m,-6,-3
6251365384914,m,-6,-4
6251365408576,m,-7,-2
6251365432888,m,-7,-4
6251365456796,m,-5,-3
6251365696505,m,0,-1
6251374240989,m,-4,1
6251374264414,m,-2,1
6251374288418,m,-3,0
6251374312459,m,-2,1
6251374360920,m,-3,1
6251374384394,m,-2,1
6251374408654,m,-3,1
6251374433013,m,-4,1
6251374456331,m,-2,1
6251374480923,m,-4,1
6251374505357,m,-3,1
6251374528573,m,-3,1
6251374553075,m,-3,1
6251374576504,m,-4,1
6251374600323,m,-3,2
6251374624671,m,-4,1
