t_ticks,kind,dx,dy
6262457883473,m,430,-13
6262457931258,m,0,0
6262458483645,m,0,0
6262458506980,m,0,-1
6262458723649,m,0,-1
6262458843222,m,0,-1
6262459011196,m,0,0
6262459035007,m,0,-1
6262459226820,m,1,-1
6262459443257,m,1,0
6262459539190,m,0,-1
6262459562937,m,1,0
6262459659620,m,1,-1
6262459779573,m,1,0
6262459876017,m,1,0
6262460379367,m,1,0
6262460475177,m,1,0
6262460499101,m,0,1
6262460571460,m,0,1
6262460595200,m,1,2
6262460621411,m,0,1
6262460642880,m,0,1
6262460666920,m,1,0
6262460691206,m,0,1
6262460715632,m,1,1
6262460738847,m,1,1
6262460763302,m,0,1
6262460786902,m,1,2
6262460810894,m,1,1
6262460835161,m,0,0
6262460859170,m,1,1
6262460882905,m,1,1
6262460906940,m,0,1
6262460930886,m,2,1
6262460955014,m,1,1
6262460978949,m,1,1
6262461003059,m,1,0
6262461026903,m,2,1
6262461051131,m,0,0
6262461074972,m,2,1
6262461099919,m,2,1
6262461123293,m,1,0
6262461146840,m,1,0
6262461170882,m,2,0
6262461194912,m,1,2
6262461219005,m,1,0
6262461244030,m,2,0
6262461267278,m,1,0
6262461290906,m,1,1
6262461315059,m,1,0
6262474395337,m,-2,0
6262474419047,m,-4,0
6262474491241,m,-4,-1
6262474539550,m,-4,0
6262474563075,m,-6,-1
6262474586960,m,-5,0
6262474610987,m,-5,-1
6262474635370,m,-6,-1
6262474659177,m,-6,0
6262474683008,m,-6,-1
6262474706974,m,-6,0
6262474730876,m,-7,-1
6262474754909,m,-6,-1
6262474778963,m,-7,-1
6262474802895,m,-7,-1
6262474827024,m,-7,-1
6262474851613,m,-7,-1
6262474875012,m,-8,0
6262474899147,m,-8,-1
6262474923240,m,-8,-1
6262474947146,m,-7,0
6262474970822,m,-8,-1
6262474994908,m,-9,-2
6262475018833,m,-8,-1
6262475042917,m,-9,-1
6262475067100,m,-8,0
6262475091280,m,-8,-1
6262475114903,m,-9,-1
6262475139059,m,-9,-1
6262475162892,m,-9,-1
6262475186950,m,-7,0
6262475211303,m,-8,-1
6262475235006,m,-8,-1
6262475259215,m,-8,-1
6262475282820,m,-8,0
6262475307206,m,-7,0
6262475331101,m,-9,-1
6262475355260,m,-8,-1
6262475379126,m,-7,-2
6262475402923,m,-8,-1
6262475426854,m,-8,-1
6262475450953,m,-8,-1
