t_ns,kind,dx,dy
149105613166600,m,0,-1
149105626085900,m,-2,-2
149105635108500,m,-17,-8
149105642993200,m,-21,-7
149105650979500,m,-20,-4
149105659186700,m,-13,-3
149105667002800,m,-11,-3
149105674997400,m,-8,-1
149105682993200,m,-7,-1
149105691030300,m,-6,-1
149105702017900,m,-6,0
149105707005200,m,-3,0
149105724083100,m,-3,0
149105745066100,m,-1,0
149105777331400,m,-1,0
149105811066600,m,-1,0
149105870839900,m,0,-1
149105950103600,m,0,-1
149105991140300,m,-1,-1
149106140148900,m,1,0
149106157032300,m,4,-1
149106175175900,m,1,0
149106190051100,m,0,1
149106208040300,m,-2,5
149106213005500,m,0,3
149106224080200,m,0,4
149106227460700,m,1,2
149106229981800,m,-1,0
149106230023800,m,1,0
149106234009700,m,1,0
149106244036400,m,1,0
149107047070300,m,-3,0
149107059025200,m,-8,2
149107066971400,m,-6,2
149107083071200,m,-4,1
149107083968800,m,0,1
149107097067800,m,1,0
149107111100800,m,6,0
149107117977700,m,4,-1
149107125996200,m,3,-1
149107136107900,m,2,-1
149107142021400,m,0,-2
149107151335500,m,1,0
149107167158700,m,3,-1
149107177158700,m,2,0
149107187087600,m,2,0
149107201053400,m,2,0
149107211063800,m,1,0
149107277199200,m,1,0
149107487111600,m,1,0
149107498989400,m,7,1
149107506996200,m,8,1
149107514985000,m,12,1
149107523160300,m,10,2
149107532010900,m,8,0
149107592161100,m,1,1
149107618114600,m,1,0
149107677076900,m,-1,-1
149107691025000,m,-3,-4
149107696054700,m,-3,-3
149107706050300,m,-3,-3
149107716031400,m,-3,-3
149107723028400,m,-2,-3
149107732070600,m,-2,-2
149107740136500,m,-1,-2
149107748039300,m,-1,-3
149107754067000,m,-1,-1
149107762075100,m,-1,-3
149107769002900,m,-2,-4
149107777147900,m,-1,-3
149107785026600,m,-2,-5
149107794016800,m,-2,-5
149107801082600,m,-2,-4
149107812069600,m,-2,-4
149107817047600,m,-1,-2
149107831056600,m,-2,-4
149107832974000,m,-1,-1
149107843063600,m,0,-1
149107874229900,m,-2,-3
149107893064100,m,0,-1
149107951147800,m,-1,0
149107962068800,m,0,-1
149108000145300,m,-1,0
149108025135700,m,0,-1
149108045048900,m,0,-1
149108052060400,m,-1,0
149108155051000,m,0,-1
149108220380600,m,0,-1
149108232045500,m,0,-1
149108243071600,m,0,-1
149108257032000,m,-1,-2
149108262053800,m,0,-1
149108273060100,m,0,-1
149108279194600,m,0,-1
149108292235000,m,0,-3
149108303174300,m,-1,-1
149108310047100,m,0,-1
149108318216200,m,0,-1
149108330087700,m,0,-2
149108360048500,m,0,-1
149109736107300,m,-1,0
149109755082500,m,-3,-2
149109763042500,m,-2,-2
149109771041800,m,-1,0
149109791048300,m,-2,-2
149109792027100,m,0,-1
149109854554200,m,-1,0
149109865137700,m,-1,0
149113559107700,m,0,-1
149132067053500,m,1,1
149132079029500,m,3,5
149132084980100,m,1,3
149132093018900,m,2,4
149132100981700,m,2,5
149132108951200,m,3,8
149132117291600,m,2,8
149132124974100,m,1,9
149132133028800,m,4,11
149132141394500,m,7,14
149132148987600,m,17,21
149132156970800,m,21,20
149132164957300,m,22,20
149132173016700,m,20,20
149132180970300,m,18,18
149132188986000,m,15,18
149132197010800,m,14,16
149132204976300,m,14,14
149132212968600,m,14,13
149132220984600,m,14,12
149132228969900,m,14,12
149132237076700,m,13,12
149132244013400,m,9,10
149132252106800,m,9,13
149132260952200,m,10,15
149132268980200,m,6,14
149132277000100,m,5,13
149132284966300,m,3,14
149132293060600,m,2,15
149132301020100,m,1,17
149132308955500,m,2,18
149132316948600,m,1,17
149132324984000,m,0,18
149132332962700,m,1,18
149132340967200,m,1,18
149132349052300,m,1,16
149132356978600,m,0,15
149132364968200,m,0,12
149132372981800,m,0,11
149132380053600,m,-1,6
149132388967900,m,-3,9
149132399020400,m,-4,8
149132410080700,m,-5,6
149132412955400,m,-2,3
149132420992400,m,-4,2
149132434020600,m,-6,4
149132438966000,m,-4,1
149132444988600,m,-3,1
149132452987700,m,-4,2
149132460969000,m,-3,0
149132470022100,m,-3,1
149132479006400,m,-3,0
149132485068200,m,-2,0
149132499043100,m,-2,0
149132506024900,m,-1,0
149132513059900,m,-1,0
149132523979900,m,-2,-1
149132529979400,m,-2,-1
149132540031600,m,-2,-1
149132546995400,m,-3,-1
149132555002900,m,-2,-2
149132563010700,m,-5,-2
149132571973300,m,-3,-2
149132581016400,m,-4,-2
149132591035100,m,-4,-2
149132593969900,m,-1,-1
149132609021800,m,-5,-3
149132619022200,m,-1,-1
149132628975200,m,-2,0
149132636018800,m,0,-1
149132650075300,m,-3,-1
149132669084400,m,-1,0
149132679052200,m,0,-1
149132789111100,L,0,0
149132855306000,Lu,0,0
149132996120400,m,-1,0
149133003099200,m,-1,0
149133012037900,m,-7,-3
149133020218700,m,-8,-4
149133028116000,m,-10,-5
149133036020800,m,-11,-6
149133043096400,m,-9,-6
149133054060200,m,-12,-11
149133068062200,m,-4,-5
149133698120200,m,0,3
149133710028300,m,6,30
149133718030800,m,5,19
149133726027800,m,8,13
149133734002000,m,6,9
149133742027600,m,4,7
149133749995900,m,5,8
149133760103900,m,4,8
149133766061000,m,1,4
149133775187700,m,2,4
149133785077700,m,1,4
149133796106000,m,0,1
149133806064000,m,1,1
149133814094800,m,1,1
149133825111600,m,1,0
149133835079600,m,6,1
149133843108900,m,5,1
149133851110200,m,12,2
149133860040300,m,16,2
149133868007000,m,19,3
149133876029400,m,20,2
149133884059000,m,18,2
149133892023000,m,21,0
149133900038500,m,21,0
149133908018200,m,18,0
149133916026700,m,17,0
149133924051500,m,14,0
149133932154600,m,11,0
149133940032900,m,8,0
149133948071300,m,6,0
149133957159800,m,7,0
149133964038200,m,6,0
149133973173900,m,7,0
149133980087500,m,11,1
149133987135000,m,9,0
149133995086400,m,15,0
149134004014400,m,21,-2
149134012006700,m,25,-5
149134020016800,m,33,-7
149134028013000,m,43,-11
149134036011300,m,50,-14
149134044018300,m,57,-14
149134052061900,m,62,-15
149134060043700,m,64,-14
149134062293100,d,0,0
149134068016100,m,61,-13
149134076012500,m,56,-14
149134084034900,m,53,-15
149134092030300,m,48,-14
149134100035900,m,43,-13
149134108015700,m,37,-12
149134116018600,m,28,-10
149134124011800,m,19,-9
149134132042400,m,10,-6
149134152082100,m,1,-3
149134152961000,m,-1,-1
149134164999200,m,-11,-3
149134172029400,m,-13,-2
149134181141900,m,-24,-1
149134189184900,m,-25,0
149134196012900,m,-22,4
149134205028400,m,-27,8
149134213015700,m,-22,8
149134220000800,m,-19,9
149134228031500,m,-20,10
149134236027400,m,-20,10
149134244019300,m,-21,10
149134253022500,m,-24,11
149134261046400,m,-21,8
149134268038600,m,-18,7
149134277038800,m,-23,8
149134285019300,m,-19,7
149134293004600,m,-16,5
149134301024100,m,-14,5
149134309000300,m,-12,4
149134317002100,m,-10,4
149134324005800,m,-6,2
149134337083900,m,-4,3
149134365065000,m,-1,2
149134369063300,m,1,0
149134380083000,m,1,0
149134390052700,m,3,0
149134399046400,m,3,0
149134405023700,m,3,0
149134413135600,m,2,0
149134420992100,m,4,0
149134430072500,m,4,0
149134437055300,m,3,1
149134447202700,m,5,0
149134452179300,m,2,0
149134462188400,m,6,0
149134469026500,m,3,0
149134478089100,m,3,0
149134487138900,m,2,1
149134492099800,m,1,0
149134533369100,a,0,0
149134538081400,m,1,0
149134538225200,m,-1,0
