t_ns,kind,dx,dy
150104578506500,m,0,-1
150104949421000,m,0,-1
150104980391700,m,0,-1
150105038181300,m,-1,0
150105265435800,m,0,-1
150106054617500,m,0,-1
150106508404800,m,-1,0
150106518513100,m,-6,1
150106526348100,m,-5,0
150106532395700,m,-7,1
150106541419200,m,-9,1
150106549431300,m,-8,1
150106557340100,m,-8,1
150106565325500,m,-8,1
150106573339100,m,-8,2
150106581363100,m,-7,2
150106589340500,m,-8,2
150106597336000,m,-9,4
150106605468600,m,-7,6
150106613476100,m,-7,6
150106621384200,m,-7,8
150106629380000,m,-9,9
150106637394300,m,-9,10
150106645388500,m,-7,7
150106653343300,m,-10,11
150106661373000,m,-8,9
150106669414700,m,-7,9
150106676480000,m,-7,8
150106685360600,m,-10,9
150106693354000,m,-9,8
150106701330400,m,-8,8
150106709456300,m,-9,6
150106717368300,m,-7,5
150106726398100,m,-8,6
150106733336300,m,-8,5
150106741340300,m,-8,4
150106749488100,m,-9,5
150106757315500,m,-11,5
150106765405900,m,-11,6
150106772362200,m,-12,6
150106781365000,m,-16,7
150106789354800,m,-16,6
150106797319000,m,-15,5
150106805317000,m,-17,6
150106813325800,m,-17,4
150106821392000,m,-16,4
150106829337300,m,-16,3
150106837335800,m,-16,4
150106845343900,m,-14,2
150106853375500,m,-12,1
150106861518000,m,-10,1
150106869367700,m,-6,1
150106881373900,m,-4,0
150106937409300,m,-1,0
150106937494000,m,1,0
150106941484200,m,1,1
150106953397100,m,5,2
150106964410300,m,4,2
150106971465800,m,4,2
150106977398400,m,5,3
150106985368900,m,6,2
150106993392400,m,5,2
150107002354200,m,7,2
150107009420000,m,6,2
150107016540100,m,4,0
150107024686100,m,7,1
150107033570100,m,6,1
150107038688100,m,1,0
150107039036600,L,0,0
150107039431800,m,2,0
150107048721200,m,6,0
150107056556700,m,4,0
150107066669000,m,4,0
150107074539400,m,3,0
150107087541200,m,2,0
150107097440100,m,1,0
150107160917200,m,1,0
150107162428500,Lu,0,0
150107358399900,m,0,-1
150107449547500,m,0,-1
150107503478200,m,0,-1
150107587406400,m,0,-1
150107598500000,m,0,-1
150107609424400,m,0,-2
150107621441900,m,0,-2
150107627399600,m,0,-1
150107637389500,m,1,-1
150107647408600,m,0,-1
150107659419500,m,0,-1
150107719466900,m,0,-1
150107732483000,m,1,-1
150107752442400,m,0,-1
150107767519400,m,1,-1
150107782426700,m,0,-2
150109675410600,m,0,-1
150109694413100,m,0,-1
150109704420000,m,0,-1
150109725508700,m,0,-1
150109738551000,m,0,-1
150109754432600,m,0,-1
150109769454700,m,0,-2
150109778541500,m,0,-1
150109788404100,m,0,-1
150109842146000,m,0,-1
150109884423900,m,0,-1
150111253395900,m,0,1
150111270389500,m,-3,3
150111275443200,m,-2,1
150111281449300,m,-4,2
150111291369700,m,-5,1
150111298393400,m,-5,1
150111305405900,m,-7,1
150111313440900,m,-8,2
150111321356600,m,-8,1
150111329352300,m,-9,1
150111337361200,m,-7,1
150111345549000,m,-8,2
150111353384700,m,-7,1
150111362581400,m,-7,2
150111369366100,m,-8,2
150111377343000,m,-7,2
150111385552400,m,-5,2
150111393463300,m,-5,3
150111402757600,m,-2,2
150111413410200,m,-2,3
150111421634600,m,0,2
150111426390800,m,0,1
150111434414300,m,0,1
150111463569700,m,0,2
150111471423800,m,-1,0
150111489444700,m,-4,2
150111497451700,m,-2,1
150111511393000,m,-3,0
150111523425700,m,0,-1
150111530490200,m,0,-2
150111541601900,m,5,-10
150111549339100,m,4,-7
150111557381800,m,6,-8
150111565632900,m,5,-8
150111573482000,m,5,-8
150111581327800,m,5,-8
150111589344300,m,6,-11
150111597388300,m,6,-13
150111605344300,m,6,-11
150111613346100,m,6,-9
150111622460500,m,4,-8
150111629553400,m,6,-9
150111637348900,m,5,-8
150111645345500,m,5,-8
150111653363400,m,3,-7
150111661389700,m,2,-5
150111670396900,m,2,-6
150111680442000,m,1,-3
150111687410800,m,1,-2
150111708400200,m,1,-3
150111730398500,m,0,-1
150111798466300,L,0,0
150111879502700,Lu,0,0
150114263448600,m,0,1
150114276403500,m,-6,7
150114283357000,m,-7,12
150114291411500,m,-4,12
150114299407100,m,-3,15
150114308552800,m,0,12
150114315361500,m,4,8
150114424431400,m,-2,0
150114439424800,m,-27,-9
150114447351200,m,-21,-6
150114455352700,m,-26,-7
150114463357200,m,-37,-8
150114470407000,m,-39,-4
150114479368500,m,-38,3
150114487350400,m,-25,5
150114495377200,m,-18,2
150114503458900,m,-12,-3
150114510389600,m,-10,-8
150114527407900,m,-9,-13
150115026410600,m,0,-2
150115040379700,m,-3,-11
150115047405600,m,-1,-1
150115047485300,m,2,0
150115048328100,m,0,-1
150115064365500,m,9,-8
150115072373800,m,4,-2
150115079412500,m,4,-2
150115089450600,m,3,-2
150115099398300,m,1,0
150115105405500,m,0,-1
150115141409700,m,-1,-1
150115151412300,m,0,-1
150115288426200,m,1,0
150115298357900,m,9,2
150115306351000,m,14,2
150115314363700,m,23,3
150115322358200,m,35,2
150115330406600,m,50,3
150115338322400,m,68,1
150115346378500,m,93,0
150115354345700,m,121,0
150115362360200,m,149,-2
150115370351900,m,173,-4
150115378435800,m,196,-5
150115385376000,m,185,-5
150115390596900,a,0,0
150115394338800,m,255,-7
150115402337300,m,238,-8
150115409372300,m,213,-8
150115418349200,m,274,-8
150115426354800,m,210,-5
150115434363500,m,230,-6
150115441403500,m,189,-5
150115450431900,m,220,-7
150115458370100,m,171,-6
150115466365900,m,144,-7
150115473457900,m,104,-4
150115482345700,m,104,-6
150115490348000,m,65,-4
150115498392900,m,43,-3
150115506337100,m,24,-1
150115515373900,m,10,-1
150115522369900,m,1,-1
150115537404700,m,1,-1
150115541423300,m,-1,-1
150115554386000,m,-6,-1
150115560450300,m,-2,-1
150115568375200,m,-6,-2
150115577367000,m,-6,-2
150115584350100,m,-4,-2
150115595405100,m,-3,0
150115637389700,m,-1,0
150115637491600,m,1,0
150115640379300,m,1,0
150115644586200,Au,0,0
150115652392500,m,6,-1
150115658354900,m,5,0
150115667407700,m,6,-1
150115674384100,m,5,-1
150115682404900,m,4,-1
150115689416600,m,7,-1
150115691582400,d,0,0
150115698362900,m,5,-2
150115706439100,m,5,-2
150115714345500,m,7,-4
150115722340600,m,4,-2
150115731487700,m,2,-2
150115738355800,m,2,-2
150115752459700,m,0,-1
150115762407200,m,0,-1
150115860407600,m,-1,0
150115869693200,a,0,0
150115870292400,m,-1,0
150115879606900,Du,0,0
150115881337900,m,-4,0
150115890393500,m,-3,0
150115896394800,m,-5,0
150115904393700,m,-8,0
150115913396900,m,-13,0
150115921334500,m,-16,0
150115929381500,m,-26,0
150115937340600,m,-40,1
150115945342800,m,-59,2
